date,avg_sentiment_score
2018-01-01,0.2674587272727273
2018-01-08,0.20666659999999998
2018-01-15,0.10297633333333334
2018-01-22,0.10784311764705878
2018-01-29,0.053261622580645165
2018-02-05,0.04159093333333333
2018-02-12,0.0755387611111111
2018-02-19,0.04562229090909091
2018-02-26,0.10900249999999996
2018-03-05,0.010191832352941185
2018-03-12,0.15557854545454547
2018-03-19,0.021018166666666664
2018-03-26,0.12000348
2018-04-02,0.11826809459459457
2018-04-09,0.15617066666666668
2018-04-16,0.2121212357142857
2018-04-23,0.17090909
2018-04-30,0.13262220666666671
2018-05-07,0.05823704375
2018-05-14,0.09146335918367347
2018-05-21,0.11585518842391303
2018-05-28,0.16629572527472525
2018-06-04,0.09137432553571427
2018-06-11,0.0847164878787879
2018-06-18,0.07922976145833334
2018-06-25,0.11161866470588235
2018-07-02,0.11955692029702969
2018-07-09,0.1850604212765957
2018-07-16,0.17835859333333334
2018-07-23,0.15629397142857146
2018-07-30,0.08481906833333336
2018-08-06,0.1665580102564103
2018-08-13,0.20877335294117647
2018-08-20,0.09257908749999999
2018-08-27,0.15968477375
2018-09-03,0.14360304
2018-09-10,0.15553352592592593
2018-09-17,0.13081506388888886
2018-09-24,0.0736961
2018-10-01,0.05734856829268293
2018-10-08,0.2051730512820513
2018-10-15,0.10602992142857144
2018-10-22,0.13312788924731184
2018-10-29,0.1477649174074074
2018-11-05,0.15227513939393938
2018-11-12,0.08102374749999999
2018-11-19,0.17094963611111108
2018-11-26,0.10103606666666669
2018-12-03,0.07664769666666668
2018-12-10,0.17063491818181817
2018-12-17,0.10482631364705881
2018-12-24,0.11396505999999999
2018-12-31,0.1123683990825688
2019-01-07,0.13016578695652176
2019-01-14,0.16590195238095237
2019-01-21,0.17740946341463415
2019-01-28,0.1172242306451613
2019-02-04,0.11095940294117648
2019-02-11,0.13484334285714286
2019-02-18,0.10341532468085107
2019-02-25,0.1427232918918919
2019-03-04,0.14505587272727274
2019-03-11,0.06524140933333333
2019-03-18,0.24191145000000003
2019-03-25,0.08269861166666667
2019-04-01,0.13284748333333335
2019-04-08,0.09954454666666665
2019-04-15,0.09329040933333331
2019-04-22,0.08722779127906975
2019-04-29,0.08743567142857143
2019-05-06,0.1075284971830986
2019-05-13,0.08994499795918369
2019-05-20,0.11432330879120876
2019-05-27,0.06277626886363638
2019-06-03,0.06363636363636362
2019-06-10,0.14679843478260873
2019-06-17,0.06848098913043478
2019-06-24,0.0936709824742268
2019-07-01,0.15454438928571432
2019-07-08,0.11952885769230769
2019-07-15,0.12661498813559321
2019-07-22,0.07550932345679012
2019-07-29,0.1154
2019-08-05,0.15784819354838714
2019-08-12,0.0010260163265306142
2019-08-19,0.11402531500000002
2019-08-26,0.09585469230769231
2019-09-02,0.08948945634615385
2019-09-09,0.1452523357894737
2019-09-16,0.12209028714285718
2019-09-23,0.11661371184210527
2019-09-30,0.18751621836734694
2019-10-07,0.15320520240963853
2019-10-14,0.08530588139534885
2019-10-21,0.09437898205128206
2019-10-28,0.14422614615384616
2019-11-04,0.09132421363636363
2019-11-11,0.13433086956521742
2019-11-18,0.16303732499999996
2019-11-25,0.05092593939393939
2019-12-02,0.16169690952380952
2019-12-09,0.14186937837837843
2019-12-16,0.07962787547169813
2019-12-23,0.08991414520547947
2020-01-01,0.2525
2020-01-06,0.12016666599999999
2020-01-13,0.09988576829268293
2020-01-20,0.11887496809523812
2020-01-27,0.06621337213114753
2020-02-03,0.12151828067567565
2020-02-10,0.08064774032258065
2020-02-17,0.09135419249999999
2020-02-24,0.11641470370370371
2020-03-02,0.09349536666666668
2020-03-09,0.09694445614035087
2020-03-16,0.11059687337837835
2020-03-23,0.1625461737704918
2020-03-30,0.09133921805555556
2020-04-06,0.16614150454545454
2020-04-13,0.13618753545454546
2020-04-20,0.16206992619999994
2020-04-27,0.12187566161904763
2020-05-04,0.1124761884210526
2020-05-11,0.11780043596491226
2020-05-18,0.1344990137777778
2020-05-25,0.12044271875
2020-06-01,0.0025723867567567543
2020-06-08,0.11085909482758621
2020-06-15,0.18778449090909086
2020-06-22,0.11700212244897959
2020-06-29,0.13444487467532462
2020-07-06,0.1992889
2020-07-13,0.11689068125000002
2020-07-20,0.14720973033707865
2020-07-27,0.1757182403846153
2020-08-03,0.13171207727272727
2020-08-10,0.12856086285714288
2020-08-17,0.05395045733333332
2020-08-24,0.08134315902439025
2020-08-31,0.08018600000000001
2020-09-07,0.12831565348837207
2020-09-14,0.13858559999999998
2020-09-21,0.10979702168674699
2020-09-28,0.17236250909090914
2020-10-05,0.14990278773809523
2020-10-12,0.11378892608695652
2020-10-19,0.1300371210526316
2020-10-26,0.13780556166666666
2020-11-02,0.10026668125000003
2020-11-09,0.12175303456790125
2020-11-16,0.11633758133333331
2020-11-23,0.14540320263157894
2020-11-30,-0.01759258888888888
2020-12-07,0.10392008571428572
2020-12-14,0.16565573999999997
2020-12-21,0.10345037199999998
2020-12-28,0.12233043181818185
